cell_name	Symbol
Long-projecting GABAergic cell	Oxtr
Chandelier cell	Ier2
Chandelier cell	Fam163b
Long-projecting GABAergic cell	Gabra2
Long-projecting GABAergic cell	Wnt2
Chandelier cell	Pdlim3
Basket cell	Slit2
Long-projecting GABAergic cell	Ptpru
CCK basket cell	Fam163a
Martinotti cell	Tunar
CCK basket cell	Usp53
Long-projecting GABAergic cell	Rasgef1b
Long-projecting GABAergic cell	Mcub
Long-projecting GABAergic cell	Pnma3
Long-projecting GABAergic cell	Slc5a5
CCK basket cell	Il4ra
Long-projecting GABAergic cell	Tspan17
Martinotti cell	Hpse
Interneuron-selective cell	Nr2e1
Basket cell	Iqgap2
Martinotti cell	Kcnk13
Chandelier cell	Fgf13
Martinotti cell	Unc13c
Long-projecting GABAergic cell	D430019H16Rik
Long-projecting GABAergic cell	Slc7a3
Interneuron-selective cell	Cracdl
Long-projecting GABAergic cell	Patl2
Interneuron-selective cell	Slc12a4
Basket cell	Esrrg
Long-projecting GABAergic cell	Bace2
CCK basket cell	Col15a1
Interneuron-selective cell	Npy2r
Long-projecting GABAergic cell	Cort
Interneuron-selective cell	Rgs16
Chandelier cell	Mctp2
Interneuron-selective cell	Unc5a
Interneuron-selective cell	St3gal1
Basket cell	Kcnj9
Interneuron-selective cell	Cpox
CCK basket cell	Jam2
Long-projecting GABAergic cell	Adgrg6
Chandelier cell	Cpne5
CCK basket cell	Unk
Basket cell	Tac1
Interneuron-selective cell	Chrna4
CCK basket cell	Pnoc
Long-projecting GABAergic cell	Gpr88
Chandelier cell	Krt12
CCK basket cell	Egln3
Chandelier cell	L2hgdh
Long-projecting GABAergic cell	Htr1a
Basket cell	Moxd1
Basket cell	Nxph2
CCK basket cell	Ccnd3
Long-projecting GABAergic cell	Tent5a
Interneuron-selective cell	Wscd2
Chandelier cell	Rasgrp1
CCK basket cell	Mxd1
Basket cell	Fam43a
CCK basket cell	Scyl2
CCK basket cell	Larp1b
CCK basket cell	Cnr1
Interneuron-selective cell	Ostf1
Chandelier cell	Hapln1
CCK basket cell	Ramp1
CCK basket cell	Cryab
Chandelier cell	Pde3a
CCK basket cell	Sp8
Basket cell	Vamp1
CCK basket cell	Sh3bp4
Basket cell	Dipk2a
Long-projecting GABAergic cell	Ctxn2
Basket cell	Hapln4
Interneuron-selective cell	Kcnh3
